name,type_cluster,scaffold,SSo,TUPOR_,TUPOR,SESY,ASER
REINVENT_62.5k_0,dis,murcko,61969.0,14/106,0.1320755,0.824864,0.0004682
REINVENT_62.5k_1,dis,murcko,61936.0,4/96,0.0416667,0.8121286,9.69e-05
REINVENT_62.5k_2,dis,murcko,61990.0,31/102,0.3039216,0.7808195,0.0010982
REINVENT_62.5k_3,dis,murcko,60729.0,3/62,0.0483871,0.7165934,0.0003624
REINVENT_62.5k_4,dis,murcko,61891.0,6/71,0.084507,0.7964001,0.0010351
REINVENT_62.5k_mean,dis,murcko,61703.0,-,0.1221116,0.7861611,0.0006122
