name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,CwASo
DrugEx_RNN_epsilon_0.6_62.5k_0,sim,murcko,"44,963.0","61,828.0",66/172,0.3837209,0.7272271,0.0492304,"2,901.0"
DrugEx_RNN_epsilon_0.6_62.5k_1,sim,murcko,"40,096.0","61,715.0",35/93,0.3763441,0.6496962,0.0041981,258.0
DrugEx_RNN_epsilon_0.6_62.5k_2,sim,murcko,"41,942.0","61,958.0",23/65,0.3538462,0.6769424,0.0028812,178.0
DrugEx_RNN_epsilon_0.6_62.5k_3,sim,murcko,"38,233.0","61,298.0",14/57,0.245614,0.6237234,0.0039965,244.0
DrugEx_RNN_epsilon_0.6_62.5k_4,sim,murcko,"38,720.0","61,294.0",8/50,0.16,0.6317095,0.0003754,23.0
DrugEx_RNN_epsilon_0.6_62.5k_mean,sim,murcko,"40,790.8","61,618.6",-,0.303905,0.6618597,0.0121363,720.8
