unique_scaffold_recall,count_of_occurance,uniq_occurance
C1CCC(CCC2CCC3C2CCC(C2CCCCC2)C2C4CCCCC4CCC32)CC1,0,0
C1CCC(CCCC2CCC3C2CCC2C4CC5CCC(C6CCCCC6)C5CC4CCC32)CC1,0,0
C1CCC(CCC2CCC(C3CC3)CC2)CC1,651,1
C1CCC(C2CCC3CC4C(CCC5C6CCC(CCCC7CCCC8CCCCC87)C6CCC45)CC32)CC1,0,0
C1CCC(CCCC2CCC3CCCC3C2)CC1,515,1
C1CCC(CCCC2CCCC(C3CCC4CC(CCC5CCC6CCCCC6C5)CCC43)C2)CC1,0,0
C1CCC(CCCC23CCCC2CC2C4CCC5CCCCC5C4CCC23)C1,0,0
C1CCC2CC(CCCC3CCC4C3CCC3C5CCCCC5CCC43)CCC2C1,3,1
C1CCC(CC(CC2CC2)C2CCC(C3CC3)CC2)CC1,0,0
C1CCC(CC2CCCC(C3CCC4CC(CCC5CCC6CCCCC6C5)CCC43)C2)C1,0,0
C1CCC(CCC2CCC3C(CCC3C3CCCC(CC4CC4)C3)C2)CC1,38,1
C(CCCC1CCC2CCCC2C1)CCCC1CCC(C2CCCCC2)C1,1,1
C1CCC(CCC2CCC3C(CCC3C3CCCC(CCC4CCCC4)C3)C2)CC1,445,1
C1CCC(CCC(CC2CC3CCCCC3C2)C2CCC2)CC1,167,1
C1CCC(C2(CCCCC3CCC4CCCCC4C3)CCCC3CCCCC32)CC1,302,1
C1CCC2C(C1)CC(C1CCCC1)C1CCCC21,106,1
C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1,222,1
C1CCC(CC2CCC(C3CC4CCCC4C4CCC5CCCCC5C34)CC2)CC1,0,0
C1CCC(CC2CCCCC2CC2CC3CCCCC3C3CCC4CCCCC4C23)CC1,8,1
C1CCC(CC2CC3CCCCC3C3CCC4CCCCC4C23)C1,13,1
C1CCC2C(C1)CC(C1CCCC3CCCCC31)C1CCCC21,3,1
C1CCC(CC23CCCCC2CCC2C4CCCC4CCC23)CC1,0,0
C1CCC2C(C1)CC(C1CCCC1)C1CCCCC21,620,1
C1CCC(C2CCC3CC(CCC4CCC5CCCC5C4)CCC32)CC1,79,1
C1CCC(C2CCC3CC4C(CCC45CCCC5)CC32)CC1,0,0
C1CCC(C2CCC3CC4C(CCCC45CC(C4CCCCC4)C(C4CCCCC4)C5)CC32)CC1,0,0
C1CCC(CCCC2CCC(C3CCC4C(CCC4C4CCCCC4)C3)CC2)CC1,23,1
C1CCC(CC2CCCCCC23CCC2C(CCC2C2CCCCC2)C3)CC1,0,0
C1CCC(C2CCC3CC4C(CCCC45CCCC5)CC32)CC1,0,0
C1CCC(C2CCC3CC4C(CCC45CCCCC5)CC32)CC1,0,0
C1CCC(C2CCC3CC4(CCCCCC4C4CCCCC4)CCC32)CC1,0,0
C1CCC(CCCCCC2CCCC3CCCC23)CC1,993,1
C(CCC1CCCC2CCCC12)CC1CCCC2CCCCC12,89,1
C1CCC(CCC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1,163,1
C1CCC(CCCCCC2CCCC3C2CCC3C2CCC(CC3CC3)CC2)CC1,3,1
C1CCC(C2CCC(CCCCCC3CCCC4CCCCC34)C2)CC1,68,1
C1CCC(CCC2CCCCC2)CC1,6586,1
C(CCC1CCC(C2CCCC2)C1)CCC1CCCC2CCCCC12,19,1
C1CCC(CCCCCC2CCCC3C2CCC3C2CCCC(CC3CCCC3)C2)CC1,7,1
C1CCC2CC(CCCC3CCCC4CCCCC43)CC2C1,63,1
