label,UAFo,CwAFo
FP-0,1,2
FP-1,1,6
FP-2,0,0
FP-3,0,0
FP-4,0,0
FP-5,0,0
FP-6,0,0
FP-7,0,0
FP-8,0,0
FP-9,0,0
FP-10,0,0
FP-11,0,0
FP-12,0,0
FP-13,0,0
FP-14,0,0
FP-15,0,0
FP-16,1,1
FP-17,0,0
FP-18,0,0
FP-19,0,0
FP-20,0,0
FP-21,1,2
FP-22,0,0
FP-23,0,0
FP-24,0,0
FP-25,0,0
FP-26,0,0
FP-27,0,0
FP-28,0,0
FP-29,0,0
FP-30,0,0
FP-31,0,0
FP-32,1,1
FP-33,1,1
FP-34,0,0
FP-35,0,0
FP-36,0,0
FP-37,0,0
FP-38,0,0
FP-39,0,0
FP-40,0,0
FP-41,1,6
FP-42,1,11
FP-43,1,2
FP-44,0,0
FP-45,0,0
FP-46,0,0
FP-47,0,0
FP-48,0,0
FP-49,0,0
FP-50,1,22
FP-51,1,6
FP-52,1,1
FP-53,1,13
FP-54,1,1
FP-55,0,0
FP-56,0,0
FP-57,0,0
FP-58,0,0
FP-59,0,0
FP-60,0,0
FP-61,0,0
FP-62,0,0
FP-63,1,1
FP-64,0,0
FP-65,1,5
FP-66,1,8
FP-67,1,17
FP-68,1,34
FP-69,1,4
FP-70,1,5
FP-71,1,1
FP-72,1,3
FP-73,1,7
FP-74,0,0
FP-75,1,2
FP-76,1,6
FP-77,0,0
FP-78,1,4
FP-79,0,0
FP-80,1,5
FP-81,1,1
FP-82,1,8
FP-83,0,0
FP-84,0,0
FP-85,0,0
FP-86,0,0
FP-87,0,0
FP-88,0,0
FP-89,0,0
FP-90,0,0
FP-91,0,0
FP-92,0,0
FP-93,0,0
FP-94,0,0
FP-95,0,0
FP-96,0,0
FP-97,1,1
FP-98,1,46
FP-99,1,26
FP-100,1,20
FP-101,1,2
FP-102,0,0
FP-103,1,5
FP-104,0,0
FP-105,0,0
FP-106,1,1
FP-107,1,3
FP-108,0,0
