unique_scaffold_recall,count_of_occurrence,unique_indicator
C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,829,1
C1CCC(C2CCC(C3CCCCC3C3CCCCC3)CC2)CC1,783,1
C1CCC(C2CCC(C3CCCCC3)CC2)CC1,789,1
C1CCC(C2CCC(C3CCCCC3C3CCCC3)C3CCCC23)CC1,460,1
C1CCC(C2CCC(C3CCCCC3C3CCCCC3)C3CCCCC23)CC1,103,1
C1CCC2CCC2C1,343,1
C1CCC(C2CCC(C3CCCCC3C3CCCC3)C3CCCCC23)CC1,51,1
C1CCC(C2CCC(C3CCCCC3)C3CCCCC23)CC1,110,1
C1CCC(C2CCC3CCC3C2)CC1,24,1
C1CCC(C2CCCC(CCCC3CCC(CC4CCCC4)CC3)C2)CC1,3,1
C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,601,1
C1CCC(CCC2CC(C3CCCCC3)C3CCCC3C2C2CCCCC2)CC1,483,1
C1CCC(CCC2CCC3CCC3C2)CC1,27,1
C1CCC(CCCC2CC(C3CCCCC3)CC(C3CCCC3)C2)CC1,81,1
C1CCC(CCCC2C3CCC3CC2C2CCCCC2)CC1,0,0
C1CCC(CCCCC2CCCC2CCCCC2CC3CCCCC3C2)CC1,122,1
C1CCC(CCCC2CC(C3CCCCC3)CC(C3CCCCC3)C2)CC1,19,1
C1CCC(CCCC2CC3CC4CC(C4)C3C2)C1,151,1
C1CCC(C2CCC(C3CCCCC3CCCC3CCCC3)C3CCCC23)CC1,291,1
C1CCC(CCCC2CCC3CCCC23)CC1,46,1
C1CCC(C2CC(CCCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,292,1
C1CCC(C2CC(CCCCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,174,1
C1CCC(C2CCC(C3CCCCC3CC3CCC4CCCC4C3)CC2)CC1,67,1
C1CCC(C2CCC(C3CCCCC3CCC34CC(C3)C4)CC2)CC1,3,1
C1CCC(CCCC2CCC(CCCCC3CCC4CCCCC34)CC2)CC1,19,1
C1CCC(C2CCCCC2CCC2CC3CCCCC3C2)CC1,11,1
C1CCC(CCCCC2CCCCC2C2CCC(C3CCCCC3)C3CCCC32)CC1,193,1
C1CCC(CCCCCC2CCCC2)CC1,840,1
C1CCC(CCCC2CCC(CCCCC3CC4CCC3CC4)CC2)CC1,7,1
C1CCC(CCC2CCCCC2)CC1,542,1
C1CCC(CCCC2CCC(CCCCCC3CC4CCCCC4C3)CC2)CC1,7,1
C(CCCC1CCCCC1)CCCC1CCCCC1,481,1
C(CCC1CCCC1)CCC1CCCC1,147,1
C(CCCC1CCC2CCC2C1)CCC1CCCCC1,14,1
C(CCCC1CCCC1CCCCC1CC2CCCCC2C1)CCC1CCCCC1,127,1
C1CCC(CCCCCC2CCC(CCCC3CCCCC3)CC2)CC1,37,1
C1CCCCC1,4231,1
C1CCC(CC2CCC3CCCCC32)CC1,266,1
C1CCC(C2CCC(C3CCCCC3CC3CCCC3)C3CCCC23)CC1,320,1
C1CCC(CC2CCCCC2)CC1,448,1
C1CCC(C2CCC(C3CCCCC3CC3CCCC3)CC2)CC1,419,1
C1CCC(CC2CCCCC2C2CCC(C3CCCCC3)C3CCCC32)CC1,353,1
C1CCC(CC2CC(C3CCCC3)C3CCCCC23)CC1,6,1
C1CCCCCCC2CCCC(C2)C(CC2CCCCC2)CCC(CC2CCCCC2)CCCCC1,0,0
C1CCC(CCC2CC(CC3CCCCC3)C3CCCCC23)CC1,8,1
C1CCC(CC2CCCCC2C2CCC(C3CCCCC3)CC2)CC1,407,1
