label,UAFo,CwAFo
FP-0,0,0
FP-1,1,10
FP-2,0,0
FP-3,1,4
FP-4,1,19
FP-5,1,1
FP-6,0,0
FP-7,1,1
FP-8,0,0
FP-9,0,0
FP-10,1,1
FP-11,0,0
FP-12,1,1
FP-13,1,2
FP-14,1,2
FP-15,0,0
FP-16,1,1
FP-17,1,1
FP-18,1,1
FP-19,1,18
FP-20,0,0
FP-21,0,0
FP-22,0,0
FP-23,0,0
FP-24,1,7
FP-25,1,5
FP-26,1,8
FP-27,0,0
FP-28,0,0
FP-29,0,0
FP-30,0,0
FP-31,0,0
FP-32,1,16
FP-33,1,2
FP-34,1,3
FP-35,1,7
FP-36,1,12
FP-37,1,3
FP-38,1,13
FP-39,1,7
FP-40,0,0
FP-41,1,2
FP-42,1,16
FP-43,1,17
FP-44,1,17
FP-45,0,0
FP-46,1,23
FP-47,0,0
FP-48,1,1
FP-49,0,0
FP-50,0,0
FP-51,0,0
FP-52,0,0
FP-53,0,0
FP-54,0,0
FP-55,0,0
FP-56,0,0
FP-57,0,0
FP-58,0,0
FP-59,0,0
FP-60,0,0
FP-61,0,0
FP-62,0,0
FP-63,0,0
FP-64,0,0
FP-65,0,0
FP-66,1,4
FP-67,1,23
FP-68,1,9
FP-69,0,0
FP-70,0,0
