unique_scaffold_recall,count_of_occurrence,unique_indicator
C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,3870,1
C1CCC(C2CCC(C3CCCCC3C3CCCCC3)CC2)CC1,1095,1
C1CCC(C2CCC(C3CCCCC3)CC2)CC1,1817,1
C1CCC(C2CCC(C3CCCCC3C3CCCC3)C3CCCC23)CC1,501,1
C1CCC(C2CCC(C3CCCCC3C3CCCCC3)C3CCCCC23)CC1,137,1
C1CCC2CCC2C1,324,1
C1CCC(C2CCC(C3CCCCC3C3CCCC3)C3CCCCC23)CC1,31,1
C1CCC(C2CCC(C3CCCCC3)C3CCCCC23)CC1,191,1
C1CCC(C2CCC3CCC3C2)CC1,36,1
C1CCC(C2CCCC(CCCC3CCC(CC4CCCC4)CC3)C2)CC1,0,0
C1CCC(CCCC2CCCC(C3CCCCC3)C2)CC1,1356,1
C1CCC(CCC2CC(C3CCCCC3)C3CCCC3C2C2CCCCC2)CC1,984,1
C1CCC(CCC2CCC3CCC3C2)CC1,225,1
C1CCC(CCCC2CC(C3CCCCC3)CC(C3CCCC3)C2)CC1,48,1
C1CCC(CCCC2C3CCC3CC2C2CCCCC2)CC1,1,1
C1CCC(CCCCC2CCCC2CCCCC2CC3CCCCC3C2)CC1,1,1
C1CCC(CCCC2CC(C3CCCCC3)CC(C3CCCCC3)C2)CC1,41,1
C1CCC(CCCC2CC3CC4CC(C4)C3C2)C1,21,1
C1CCC(C2CCC(C3CCCCC3CCCC3CCCC3)C3CCCC23)CC1,272,1
C1CCC(CCCC2CCC3CCCC23)CC1,53,1
C1CCC(C2CC(CCCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,215,1
C1CCC(C2CC(CCCCC3CCCC3)C(C3CCCCC3)C3CCCC23)CC1,128,1
C1CCC(C2CCC(C3CCCCC3CC3CCC4CCCC4C3)CC2)CC1,78,1
C1CCC(C2CCC(C3CCCCC3CCC34CC(C3)C4)CC2)CC1,0,0
C1CCC(CCCC2CCC(CCCCC3CCC4CCCCC34)CC2)CC1,0,0
C1CCC(C2CCCCC2CCC2CC3CCCCC3C2)CC1,63,1
C1CCC(CCCCC2CCCCC2C2CCC(C3CCCCC3)C3CCCC32)CC1,379,1
C1CCC(CCCCCC2CCCC2)CC1,2124,1
C1CCC(CCCC2CCC(CCCCC3CC4CCC3CC4)CC2)CC1,1,1
C1CCC(CCC2CCCCC2)CC1,6023,1
C1CCC(CCCC2CCC(CCCCCC3CC4CCCCC4C3)CC2)CC1,0,0
C(CCCC1CCCCC1)CCCC1CCCCC1,3744,1
C(CCC1CCCC1)CCC1CCCC1,33,1
C(CCCC1CCC2CCC2C1)CCC1CCCCC1,108,1
C(CCCC1CCCC1CCCCC1CC2CCCCC2C1)CCC1CCCCC1,4,1
C1CCC(CCCCCC2CCC(CCCC3CCCCC3)CC2)CC1,105,1
C1CCCCC1,13155,1
C1CCC(CC2CCC3CCCCC32)CC1,466,1
C1CCC(C2CCC(C3CCCCC3CC3CCCC3)C3CCCC23)CC1,243,1
C1CCC(CC2CCCCC2)CC1,3114,1
C1CCC(C2CCC(C3CCCCC3CC3CCCC3)CC2)CC1,169,1
C1CCC(CC2CCCCC2C2CCC(C3CCCCC3)C3CCCC32)CC1,643,1
C1CCC(CC2CC(C3CCCC3)C3CCCCC23)CC1,18,1
C1CCCCCCC2CCCC(C2)C(CC2CCCCC2)CCC(CC2CCCCC2)CCCCC1,0,0
C1CCC(CCC2CC(CC3CCCCC3)C3CCCCC23)CC1,175,1
C1CCC(CC2CCCCC2C2CCC(C3CCCCC3)CC2)CC1,497,1
