label,UAFo,CwAFo
FP-0,0,0
FP-1,0,0
FP-2,0,0
FP-3,1,23
FP-4,1,31
FP-5,0,0
FP-6,0,0
FP-7,0,0
FP-8,0,0
FP-9,1,1
FP-10,1,17
FP-11,0,0
FP-12,0,0
FP-13,0,0
FP-14,0,0
FP-15,0,0
FP-16,0,0
FP-17,0,0
FP-18,0,0
FP-19,0,0
FP-20,0,0
FP-21,0,0
FP-22,0,0
FP-23,0,0
FP-24,0,0
FP-25,0,0
FP-26,0,0
FP-27,0,0
FP-28,1,17
FP-29,1,6
FP-30,0,0
FP-31,1,12
FP-32,0,0
FP-33,1,3
FP-34,0,0
FP-35,0,0
FP-36,1,23
FP-37,0,0
FP-38,0,0
FP-39,0,0
FP-40,1,3
FP-41,0,0
FP-42,0,0
FP-43,0,0
FP-44,0,0
FP-45,0,0
FP-46,0,0
FP-47,0,0
FP-48,0,0
FP-49,1,7
