label,UAFo,CwAFo
FP-0,0,0
FP-1,0,0
FP-2,0,0
FP-3,0,0
FP-4,0,0
FP-5,0,0
FP-6,1,9
FP-7,0,0
FP-8,0,0
FP-9,1,1
FP-10,0,0
FP-11,0,0
FP-12,0,0
FP-13,0,0
FP-14,0,0
FP-15,0,0
FP-16,0,0
FP-17,0,0
FP-18,0,0
FP-19,0,0
FP-20,0,0
FP-21,0,0
FP-22,0,0
FP-23,0,0
FP-24,0,0
FP-25,0,0
FP-26,0,0
FP-27,1,75
FP-28,0,0
FP-29,0,0
FP-30,0,0
FP-31,0,0
FP-32,1,63
FP-33,0,0
FP-34,0,0
FP-35,0,0
FP-36,0,0
FP-37,0,0
FP-38,0,0
FP-39,0,0
FP-40,0,0
FP-41,1,8
FP-42,0,0
FP-43,0,0
FP-44,0,0
FP-45,0,0
FP-46,1,126
FP-47,1,42
FP-48,0,0
FP-49,0,0
FP-50,0,0
FP-51,0,0
FP-52,0,0
FP-53,1,23
FP-54,1,2
FP-55,0,0
FP-56,0,0
FP-57,0,0
FP-58,0,0
FP-59,0,0
FP-60,0,0
FP-61,0,0
FP-62,1,4
FP-63,0,0
FP-64,0,0
FP-65,0,0
FP-66,0,0
FP-67,0,0
FP-68,1,13
FP-69,1,8
FP-70,1,1
FP-71,1,34
FP-72,1,73
FP-73,1,20
FP-74,0,0
FP-75,0,0
FP-76,0,0
FP-77,0,0
FP-78,0,0
FP-79,0,0
FP-80,1,57
FP-81,0,0
FP-82,0,0
FP-83,0,0
FP-84,1,4
FP-85,0,0
FP-86,0,0
FP-87,0,0
FP-88,1,4
FP-89,0,0
FP-90,1,4
FP-91,1,82
FP-92,1,23
FP-93,0,0
FP-94,0,0
FP-95,0,0
FP-96,0,0
FP-97,0,0
FP-98,0,0
FP-99,0,0
FP-100,0,0
FP-101,1,14
FP-102,0,0
FP-103,0,0
FP-104,0,0
FP-105,0,0
FP-106,0,0
FP-107,0,0
FP-108,0,0
FP-109,1,3
FP-110,0,0
FP-111,0,0
FP-112,0,0
FP-113,0,0
FP-114,1,31
FP-115,0,0
FP-116,0,0
FP-117,0,0
FP-118,0,0
FP-119,0,0
FP-120,0,0
FP-121,1,1
FP-122,0,0
FP-123,0,0
FP-124,0,0
FP-125,0,0
FP-126,0,0
FP-127,0,0
FP-128,0,0
FP-129,0,0
FP-130,0,0
FP-131,0,0
FP-132,0,0
FP-133,0,0
FP-134,0,0
FP-135,0,0
FP-136,0,0
FP-137,0,0
FP-138,1,144
FP-139,0,0
FP-140,0,0
FP-141,0,0
FP-142,0,0
FP-143,0,0
FP-144,0,0
FP-145,0,0
FP-146,0,0
